Unnamed: 0,Public company,Type,Income,Year
769,855,上半年收入,152.8亿元,2009
770,912,上半年收入,763.2亿元,2009
771,1152,上半年收入,289.2亿元,2009
772,847,上半年收入,262.5亿元,2009
773,1094,上半年收入,1.59亿美元,2009
774,1211,上半年收入,211.8亿元,2009
775,997,上半年收入,90.4亿元,2009
776,1153,上半年收入,13.4亿元,2009
777,1197,上半年收入,972亿元,2009
778,907,上半年收入,62.6亿港元,2009
779,1212,上半年收入,235.3亿元,2009
780,1198,上半年收入,613亿元,2009
781,917,上半年收入,86.1亿港元,2009
782,951,上半年收入,90.8亿港元,2009
783,854,上半年收入,406.5亿元,2009
784,1213,上半年收入,5.711亿港元,2009
785,1214,上半年收入,19.6亿港元,2009
786,1185,上半年收入,181亿港元,2009
787,908,上半年收入,54亿港元,2009
788,1118,上半年收入,131亿元,2009
789,860,上半年收入,224.1亿元,2009
790,1215,上半年收入,82.9亿元,2009
791,894,上半年收入,92亿元,2009
792,974,上半年收入,390.5亿元,2009
793,1192,上半年收入,141.6亿元,2009
794,1165,上半年收入,213.5亿元,2009
795,865,上半年收入,279.8亿元,2009
796,985,上半年收入,139.9亿港元,2009
797,1154,上半年收入,5340亿元,2009
798,1063,上半年收入,88.6亿元,2009
799,973,上半年收入,204.6亿元,2009
800,1140,上半年收入,127.7亿港元,2009
801,919,上半年收入,2129.1亿元,2009
802,1202,上半年收入,42.2亿元,2009
803,1159,上半年收入,41.3亿元,2009
804,1183,上半年收入,94.4亿元,2009
805,1187,上半年收入,112.4亿元,2009
806,978,上半年收入,277.1亿元,2009
807,1200,上半年收入,226.9亿元,2009
808,923,上半年收入,235亿港元,2009
809,1167,上半年收入,300.4亿元,2009
810,893,上半年收入,154.8亿港元,2009
811,1216,上半年收入,23.1亿元,2009
812,1201,上半年收入,206.8亿元,2009
813,1181,上半年收入,116.3亿元,2009
814,309,上半年收入,89.5亿元,2009
815,881,上半年收入,225.6亿元,2009
816,944,上半年收入,462.9亿港元,2009
817,1217,上半年收入,6.359亿元,2009
818,1162,上半年收入,155.4亿港元,2009
819,1163,上半年收入,1410.3亿港元,2009
820,1218,上半年收入,64.1亿港元,2009
821,956,上半年收入,33.5亿港元,2009
822,1172,上半年收入,306.1亿元,2009
823,1219,上半年收入,27.7亿元,2009
824,1172,上半年收入,306.1亿元,2009
825,1144,上半年收入,4.259亿美元,2009
826,954,上半年收入,86.3亿港元,2009
827,958,上半年收入,8.51亿港元,2009
828,1220,上半年收入,175亿元,2009
829,852,上半年收入,93.8亿元,2009
830,1028,上半年收入,20.7亿美元,2009
831,1221,上半年收入,91亿元,2009
832,964,上半年收入,22.2亿港元,2009
833,918,上半年收入,119.4亿港元,2009
834,1203,上半年收入,47.2亿港元,2009
835,921,上半年收入,309.2亿港元,2009
836,1016,上半年收入,21.7亿港元,2009
837,976,上半年收入,205.5亿元,2009
838,1159,上半年收入,41.3亿元,2009
839,1222,上半年收入,18.2亿美元,2009
840,1223,上半年收入,25.5亿美元,2009
841,992,上半年收入,151.2亿港元,2009
842,1224,上半年收入,63.3亿元,2009
843,1190,上半年收入,190.6亿港元,2009
844,1225,上半年收入,16.5亿港元,2008
845,1226,上半年收入,22亿港元,2008
846,1227,上半年收入,11.3亿美元,2008
847,1216,上半年收入,20.1亿元,2008
848,971,上半年收入,18.4亿元,2008
849,1194,上半年收入,35.4亿元,2008
850,1086,上半年收入,18.1亿港元,2008
851,1068,上半年收入,94.7亿港元,2008
852,850,上半年收入,757.5亿元,2008
853,1208,上半年收入,94.9亿港元,2008
